text,symptom_id,symptom_name,severity,esi_label,language,source,base_weight
The problem I have is that cough up blood with period.,S033,catamenial_haemoptysis,critical,High,en,synthetic,8
I want you to know that occasional blood when going toilet during period.,S010,rectal_bleeding,mild,Moderate,en,synthetic,8
Nilikuja hospitalini kwa sababu ya tumbo la chini linauma.,S002,chronic_pelvic_pain,critical,Critical,sw,synthetic,10
"Doctor, I have unbearable urinating frequently and I do not know what to do.",S017,urinary_frequency,critical,High,en,synthetic,5
Since I was young I have had low blood.,S023,anaemia,severe,Moderate,en-KE,synthetic,6
"Nilikuja hospitalini kwa sababu ya maumivu ya hedhi, for 6 years.",S001,dysmenorrhoea,critical,Critical,sw,synthetic,10
My experience is that pain in my lower belly.,S002,chronic_pelvic_pain,moderate,High,en-KE,synthetic,10
The problem I have is that trying for a baby without success.,S026,infertility,mild,Moderate,en-KE,synthetic,9
Nimekuwa nikilalamika kuhusu nimechoka sana kila wakati.,S022,fatigue_chronic,critical,High,sw,synthetic,7
My experience is that have to sit down suddenly from dizziness.,S025,fainting_syncope,moderate,Moderate,en,synthetic,8
I came to the clinic because of constipation during period.,S011,constipation_cyclical,severe,Moderate,en,synthetic,6
I came to the clinic because of severe bloody urine.,S016,haematuria,severe,High,en,synthetic,8
"I am here because my period makes me stay in bed, for 3 months now.",S001,dysmenorrhoea,mild,Moderate,en-KE,synthetic,10
My experience is that pain when going to the toilet.,S009,dyschezia,mild,Moderate,en-KE,synthetic,9
I experience slightly bloated around period regularly.,S014,bloating_abdominal,mild,Low,en,synthetic,5
For the past few months I have had belly distension.,S014,bloating_abdominal,mild,Low,en,synthetic,5
I am here because back aches a bit during period.,S018,lower_back_pain,mild,Low,en,synthetic,7
Nimekuwa nikilalamika kuhusu damu kidogo mwilini.,S023,anaemia,severe,Moderate,sw,synthetic,6
I am here because pain in shoulder tip with period.,S020,shoulder_tip_pain,severe,Moderate,en,synthetic,6
My experience is that my period makes me stay in bed.,S001,dysmenorrhoea,critical,Critical,en-KE,synthetic,10
For the past few months I have had severe pain affects my relationship.,S037,relationship_social_impact,severe,Moderate,en,synthetic,5
My experience is that doctors keep sending me away.,S038,previous_misdiagnosis,moderate,Moderate,en-KE,synthetic,6
I am struggling with occasional anxious all the time.,S030,anxiety,mild,Low,en,synthetic,4
Nilikuja hospitalini kwa sababu ya kujamiiana kunauma.,S006,dyspareunia_deep,critical,Critical,sw,synthetic,9
pain starts a few days early.,S003,premenstrual_pain,moderate,Moderate,en,synthetic,7
my period makes me stay in bed.,S001,dysmenorrhoea,mild,Moderate,en-KE,synthetic,10
I want you to know that trying for a baby without success.,S026,infertility,critical,Critical,en-KE,synthetic,9
I cannot work properly because of fainting.,S025,fainting_syncope,severe,High,en,synthetic,8
Nimekuwa nikilalamika kuhusu kuumwa unapokojoa.,S015,dysuria,mild,Low,sw,synthetic,7
I am here because emergency pad changes every 30 minutes.,S005,heavy_menstrual_bleeding,critical,High,en,synthetic,7
Tatizo langu kuu ni sijapata mimba ingawa ninajaribu.,S026,infertility,moderate,Moderate,sw,synthetic,9
My experience is that mentally struggling with the pain.,S029,depression,mild,Low,en,synthetic,5
My experience is that my period affects my job.,S036,work_school_absence,severe,Moderate,en,synthetic,7
The problem I have is that pain starts a few days early.,S003,premenstrual_pain,moderate,Moderate,en,synthetic,7
I am here because big lump in scar needing operation.,S035,scar_endometriosis,critical,High,en,synthetic,7
My main problem is bloody urine.,S016,haematuria,moderate,Moderate,en,synthetic,8
I cannot work properly because of hip aches sometimes.,S021,hip_groin_pain,mild,Low,en,synthetic,6
I told the doctor that cycle is all over the place.,S027,irregular_periods,mild,Low,en,synthetic,5
I told the doctor that blood when not on period.,S004,intermenstrual_bleeding,critical,High,en-KE,synthetic,6
"Nilikuja hospitalini kwa sababu ya uchovu kupita kiasi, for about 12 months.",S022,fatigue_chronic,severe,Moderate,sw,synthetic,7
For the past few months I have had occasional pale from blood loss.,S023,anaemia,mild,Low,en,synthetic,6
I have been dealing with occasional blood clots for a while now.,S005,heavy_menstrual_bleeding,mild,Low,en,synthetic,7
"I cannot work properly because of pain affects my relationship, for 2 months now.",S037,relationship_social_impact,moderate,Low,en,synthetic,5
The problem I have is that feeling of fullness in pelvis.,S028,pelvic_mass_sensation,critical,High,en,synthetic,7
I have stomach swells up and it is really affecting me.,S014,bloating_abdominal,mild,Low,en-KE,synthetic,5
Sijui nifanye nini kuhusu hedhi nyingi sana.,S005,heavy_menstrual_bleeding,severe,Moderate,sw,synthetic,7
I want you to know that big lump in scar needing operation.,S035,scar_endometriosis,critical,High,en,synthetic,7
My experience is that change pad every few hours.,S005,heavy_menstrual_bleeding,moderate,Moderate,en,synthetic,7
"For the past few months I have had chronic pelvic pain, since I was 14 years old.",S002,chronic_pelvic_pain,mild,Moderate,en,synthetic,10
I told the doctor that I avoid sex because it hurts.,S006,dyspareunia_deep,mild,Moderate,en-KE,synthetic,9
Tatizo langu kuu ni maumivu wakati wa kujamiiana.,S006,dyspareunia_deep,critical,Critical,sw,synthetic,9
I cannot work properly because of serious dyschezia.,S009,dyschezia,severe,High,en,synthetic,9
My main problem is cannot pass anything.,S011,constipation_cyclical,critical,High,en,synthetic,6
Nina uchovu kupita kiasi.,S022,fatigue_chronic,moderate,Moderate,sw,synthetic,7
I told the doctor that sijawahi pata mtoto ingawa ninajaribu.,S026,infertility,critical,Critical,sw,synthetic,9
I want you to know that my period makes me stay in bed.,S001,dysmenorrhoea,moderate,High,en-KE,synthetic,10
going dizzy and faint from pain.,S025,fainting_syncope,critical,High,en,synthetic,8
The problem I have is that my back is in agony during my period.,S018,lower_back_pain,moderate,Moderate,en-KE,synthetic,7
I am here because pain builds up before period.,S003,premenstrual_pain,critical,High,en,synthetic,7
Nilikuja hospitalini kwa sababu ya nimechoka sana kila wakati.,S022,fatigue_chronic,mild,Low,sw,synthetic,7
I told the doctor that emergency from fever during period.,S024,fever_cyclical,critical,High,en,synthetic,5
Nimekuwa na kuumwa unapokojoa kwa muda mrefu.,S015,dysuria,critical,High,sw,synthetic,7
I am struggling with slight burning at start.,S007,dyspareunia_superficial,mild,Low,en,synthetic,6
I came to the clinic because of cannot work properly.,S002,chronic_pelvic_pain,severe,High,en,synthetic,10
I have had feeling worthless since I was a teenager.,S029,depression,severe,Moderate,en,synthetic,5
"Doctor, I have occasional shoulder pain during period and I do not know what to do.",S020,shoulder_tip_pain,mild,Low,en,synthetic,6
Nilikuja hospitalini kwa sababu ya maumivu ya nyonga.,S002,chronic_pelvic_pain,moderate,High,sw,synthetic,10
Nimekuwa na hedhi nyingi sana kwa muda mrefu.,S005,heavy_menstrual_bleeding,moderate,Moderate,sw,synthetic,7
I am here because pain shoots down my leg.,S019,leg_pain_sciatica,critical,High,en,synthetic,7
For the past few months I have had collapsed from pain.,S025,fainting_syncope,severe,High,en,synthetic,8
blood in sputum during period.,S033,catamenial_haemoptysis,mild,Moderate,en,synthetic,8
My main problem is random bleeding.,S004,intermenstrual_bleeding,severe,Moderate,en,synthetic,6
I want you to know that inner thigh pain during period.,S021,hip_groin_pain,severe,Moderate,en,synthetic,6
I am here because sijawahi pata mtoto ingawa ninajaribu.,S026,infertility,moderate,Moderate,sw,synthetic,9
I have had pain when passing stool since I was a teenager.,S009,dyschezia,mild,Moderate,en,synthetic,9
Nimekuwa na maumivu ya nyonga kwa muda mrefu.,S002,chronic_pelvic_pain,moderate,High,sw,synthetic,10
I experience completely alone regularly.,S037,relationship_social_impact,critical,High,en,synthetic,5
I have pain has isolated me.,S037,relationship_social_impact,critical,High,en,synthetic,5
I have had extreme scar swells during period since I was a teenager.,S035,scar_endometriosis,critical,High,en,synthetic,7
I am here because I avoid sex because it hurts.,S006,dyspareunia_deep,critical,Critical,en-KE,synthetic,9
Nilikuja hospitalini kwa sababu ya kuumwa unapokwenda chooni.,S009,dyschezia,critical,Critical,sw,synthetic,9
I came to the clinic because of regular miss school during period.,S036,work_school_absence,moderate,Moderate,en,synthetic,7
My experience is that blood in phlegm during period.,S033,catamenial_haemoptysis,mild,Moderate,en,synthetic,8
Every month I suffer from stomach upset with period.,S012,diarrhoea_cyclical,mild,Low,en-KE,synthetic,5
The problem I have is that painful lump at belly button.,S034,umbilical_pain_bleeding,moderate,Moderate,en,synthetic,8
I have constant worry.,S030,anxiety,severe,Moderate,en,synthetic,4
I have had severe bleeding between periods since I was a teenager.,S004,intermenstrual_bleeding,severe,Moderate,en,synthetic,6
"I want you to know that dropped out of school from pain, for over 3 months.",S036,work_school_absence,critical,High,en,synthetic,7
For the past few months I have had deep pain during intercourse.,S006,dyspareunia_deep,moderate,Moderate,en,synthetic,9
I told the doctor that my back is in agony during my period.,S018,lower_back_pain,moderate,Moderate,en-KE,synthetic,7
I cannot work properly because of collapsing from pain.,S025,fainting_syncope,moderate,Moderate,en,synthetic,8
I am struggling with constipation during period.,S011,constipation_cyclical,moderate,Moderate,en,synthetic,6
I am struggling with has destroyed my relationship.,S006,dyspareunia_deep,critical,Critical,en,synthetic,9
Tatizo langu kuu ni maumivu ya hedhi.,S001,dysmenorrhoea,severe,High,sw,synthetic,10
Nimekuwa na kuumwa unapokojoa kwa muda mrefu.,S015,dysuria,moderate,Moderate,sw,synthetic,7
I am struggling with emergency rectal bleeding.,S010,rectal_bleeding,critical,High,en,synthetic,8
Nimekuwa nikilalamika kuhusu kujamiiana kunauma.,S006,dyspareunia_deep,severe,High,sw,synthetic,9
Nina damu nyingi sana.,S005,heavy_menstrual_bleeding,mild,Low,sw,synthetic,7
I am struggling with noticeable loin pain during period.,S018,lower_back_pain,moderate,Moderate,en,synthetic,7
I am struggling with feeling hopeless.,S029,depression,critical,High,en,synthetic,5
The problem I have is that blood in sputum during period.,S033,catamenial_haemoptysis,critical,High,en,synthetic,8
Sijui nifanye nini kuhusu tumbo la chini linauma.,S002,chronic_pelvic_pain,mild,Moderate,sw,synthetic,10
I have had emergency from leg pain since I was a teenager.,S019,leg_pain_sciatica,critical,High,en,synthetic,7
Sijui nifanye nini kuhusu maumivu ya nyonga.,S002,chronic_pelvic_pain,mild,Moderate,sw,synthetic,10
"Doctor, I have pain between periods and I do not know what to do.",S002,chronic_pelvic_pain,moderate,High,en,synthetic,10
pressure on bladder and bowel.,S028,pelvic_mass_sensation,severe,Moderate,en,synthetic,7
For the past few months I have had back ache with period.,S018,lower_back_pain,moderate,Moderate,en,synthetic,7
I experience loin pain during period regularly.,S018,lower_back_pain,moderate,Moderate,en,synthetic,7
I have come to see the doctor because of running stomach during period.,S012,diarrhoea_cyclical,moderate,Low,en-KE,synthetic,5
My experience is that big lump in scar needing operation.,S035,scar_endometriosis,critical,High,en,synthetic,7
I want you to know that cycle is all over the place.,S027,irregular_periods,moderate,Low,en,synthetic,5
For the past few months I have had significant anxiety.,S030,anxiety,moderate,Low,en,synthetic,4
I told the doctor that blood in my poop during period.,S010,rectal_bleeding,mild,Moderate,en,synthetic,8
The problem I have is that trying for a baby without success.,S026,infertility,moderate,Moderate,en-KE,synthetic,9
My main problem is dismissed by doctor.,S038,previous_misdiagnosis,moderate,Moderate,en,synthetic,6
The problem I have is that emergency hospital for blood in urine.,S016,haematuria,critical,High,en,synthetic,8
The problem I have is that sijawahi pata mtoto ingawa ninajaribu.,S026,infertility,moderate,Moderate,sw,synthetic,9
I avoid sex because it hurts.,S006,dyspareunia_deep,moderate,Moderate,en-KE,synthetic,9
I came to the clinic because of diarrhoea every period.,S012,diarrhoea_cyclical,moderate,Low,en,synthetic,5
pain in my lower belly.,S002,chronic_pelvic_pain,mild,Moderate,en-KE,synthetic,10
I experience night pain regularly.,S031,sleep_disturbance,moderate,Low,en,synthetic,4
I want you to know that pain at top of shoulder during menstruation.,S020,shoulder_tip_pain,moderate,Moderate,en,synthetic,6
Nilikuja hospitalini kwa sababu ya damu nyingi sana.,S005,heavy_menstrual_bleeding,moderate,Moderate,sw,synthetic,7
"Doctor, I have anxiety is disabling and I do not know what to do, for 2 years.",S030,anxiety,severe,Moderate,en,synthetic,4
Nimekuwa na hedhi inaniuma kwa muda mrefu.,S001,dysmenorrhoea,critical,Critical,sw,synthetic,10
"I have been dealing with pain affects my relationship for a while now, for over 3 months.",S037,relationship_social_impact,moderate,Low,en,synthetic,5
I have had severe cannot socialise during period since I was a teenager.,S037,relationship_social_impact,severe,Moderate,en,synthetic,5
"Doctor, I have anaemia and I do not know what to do.",S023,anaemia,severe,Moderate,en,synthetic,6
I am here because CS scar painful during period.,S035,scar_endometriosis,severe,Moderate,en-KE,synthetic,7
I experience fever during period regularly.,S024,fever_cyclical,mild,Low,en,synthetic,5
For the past few months I have had loose stools during period.,S012,diarrhoea_cyclical,critical,High,en,synthetic,5
I experience hospitalised for anaemia regularly.,S023,anaemia,critical,High,en,synthetic,6
"I want you to know that take days off for period, for the past 6 months.",S036,work_school_absence,mild,Low,en,synthetic,7
I am here because pee a bit more during period.,S017,urinary_frequency,mild,Low,en,synthetic,5
Since I was young I have had stomach swells up.,S014,bloating_abdominal,mild,Low,en-KE,synthetic,5
I told the doctor that pain from hip to leg.,S019,leg_pain_sciatica,severe,Moderate,en,synthetic,7
I cannot work properly because of bloody urine.,S016,haematuria,moderate,Moderate,en,synthetic,8
I told the doctor that my period is too much.,S005,heavy_menstrual_bleeding,moderate,Moderate,en-KE,synthetic,7
I told the doctor that my period makes me stay in bed.,S001,dysmenorrhoea,moderate,High,en-KE,synthetic,10
my period is too much.,S005,heavy_menstrual_bleeding,severe,Moderate,en-KE,synthetic,7
I cannot work properly because of bleed between periods regularly.,S004,intermenstrual_bleeding,moderate,Moderate,en,synthetic,6
I am here because told I have a cyst.,S028,pelvic_mass_sensation,severe,Moderate,en-KE,synthetic,7
"The problem I have is that pain wakes me at night, for over 2 months.",S031,sleep_disturbance,mild,Low,en,synthetic,4
I told the doctor that hot and sweaty during period.,S024,fever_cyclical,moderate,Low,en,synthetic,5
My experience is that kuhisi kichefuchefu wakati wa hedhi.,S013,nausea_vomiting_cyclical,severe,Moderate,sw,synthetic,6
I came to the clinic because of pain when pooping.,S009,dyschezia,moderate,Moderate,en,synthetic,9
going dizzy and faint from pain.,S025,fainting_syncope,severe,High,en,synthetic,8
"I want you to know that I cannot function during my period, since I was 15 years old.",S001,dysmenorrhoea,critical,Critical,en-KE,synthetic,10
The problem I have is that feel something in my pelvis.,S028,pelvic_mass_sensation,moderate,Moderate,en,synthetic,7
"Doctor, I have unbearable dysuria and I do not know what to do.",S015,dysuria,critical,High,en,synthetic,7
I have had fear about my fertility since I was a teenager.,S030,anxiety,mild,Low,en,synthetic,4
My experience is that pain in my lower belly.,S002,chronic_pelvic_pain,severe,High,en-KE,synthetic,10
"Tatizo langu kuu ni maumivu ya hedhi, for about 3 months.",S001,dysmenorrhoea,mild,Moderate,sw,synthetic,10
I have pain passing urine and it is really affecting me.,S015,dysuria,critical,High,en-KE,synthetic,7
Nilikuja hospitalini kwa sababu ya kuumwa unapokwenda chooni.,S009,dyschezia,mild,Moderate,sw,synthetic,9
pain even when I am not on my period.,S002,chronic_pelvic_pain,critical,Critical,en-KE,synthetic,10
"Nilikuja hospitalini kwa sababu ya uchovu kupita kiasi, for 3 months now.",S022,fatigue_chronic,moderate,Moderate,sw,synthetic,7
Tatizo langu kuu ni hedhi inaniuma.,S001,dysmenorrhoea,moderate,High,sw,synthetic,10
I experience bleed between periods regularly regularly.,S004,intermenstrual_bleeding,moderate,Moderate,en,synthetic,6
"Nilikuja hospitalini kwa sababu ya maumivu ya hedhi, for 36 years.",S001,dysmenorrhoea,moderate,High,sw,synthetic,10
My main problem is miss one day sometimes.,S036,work_school_absence,mild,Low,en,synthetic,7
"My experience is that miss 2-3 days every period, for 6 months now.",S036,work_school_absence,moderate,Moderate,en,synthetic,7
I told the doctor that blood in urine every period.,S016,haematuria,moderate,Moderate,en,synthetic,8
I told the doctor that cannot breathe properly from bloating.,S014,bloating_abdominal,critical,High,en,synthetic,5
I need help with running stomach during period.,S012,diarrhoea_cyclical,critical,High,en-KE,synthetic,5
bowels go crazy during period.,S012,diarrhoea_cyclical,critical,High,en,synthetic,5
"Doctor, I have occasional feel sick during period and I do not know what to do.",S013,nausea_vomiting_cyclical,mild,Low,en,synthetic,6
"I came to the clinic because of unbearable depression, for over 3 months.",S029,depression,critical,High,en,synthetic,5
"I cannot work properly because of anxious all the time, for the past 24 months.",S030,anxiety,moderate,Low,en,synthetic,4
I cannot work properly because of moderate pain in my thigh.,S019,leg_pain_sciatica,moderate,Moderate,en,synthetic,7
told it is just period pain.,S038,previous_misdiagnosis,critical,High,en-KE,synthetic,6
"miss school from period pain, for 3 months now.",S036,work_school_absence,critical,High,en-KE,synthetic,7
Nimekuwa na kuumwa unapokojoa kwa muda mrefu.,S015,dysuria,mild,Low,sw,synthetic,7
I am here because avoid sex because of pain.,S006,dyspareunia_deep,severe,High,en,synthetic,9
Nina uchovu kupita kiasi.,S022,fatigue_chronic,critical,High,sw,synthetic,7
I experience not falling pregnant regularly.,S026,infertility,mild,Moderate,en,synthetic,9
I experience constipation during period regularly.,S011,constipation_cyclical,critical,High,en,synthetic,6
My main problem is severely anaemic.,S023,anaemia,severe,Moderate,en,synthetic,6
I am here because worst pain of my life.,S001,dysmenorrhoea,critical,Critical,en,synthetic,10
I experience pain during sex regularly.,S006,dyspareunia_deep,severe,High,en,synthetic,9
I have had have to stop sometimes since I was a teenager.,S006,dyspareunia_deep,moderate,Moderate,en,synthetic,9
I have been dealing with occasional chest tightness with period for a while now.,S032,catamenial_pneumothorax,mild,Moderate,en,synthetic,9
I am here because blood in sputum during period.,S033,catamenial_haemoptysis,severe,High,en,synthetic,8
I came to the clinic because of IVF recommended.,S026,infertility,severe,High,en,synthetic,9
Nilikuja hospitalini kwa sababu ya uchovu kupita kiasi.,S022,fatigue_chronic,moderate,Moderate,sw,synthetic,7
I am here because blood in sputum during period.,S033,catamenial_haemoptysis,critical,High,en,synthetic,8
The problem I have is that period comes at very different times.,S027,irregular_periods,moderate,Low,en,synthetic,5
"I told the doctor that pain even when I am not on my period, for over 12 months.",S002,chronic_pelvic_pain,mild,Moderate,en-KE,synthetic,10
"Doctor, I have slight burning at start and I do not know what to do.",S007,dyspareunia_superficial,mild,Low,en,synthetic,6
Nimekuwa nikilalamika kuhusu kuzimia kutokana na maumivu.,S025,fainting_syncope,critical,High,sw,synthetic,8
"Doctor, I have severe sleep problems and I do not know what to do.",S031,sleep_disturbance,severe,Moderate,en,synthetic,4
Nimekuwa na kujamiiana kunauma kwa muda mrefu.,S006,dyspareunia_deep,severe,High,sw,synthetic,9
"Doctor, I have tired all the time and I do not know what to do.",S022,fatigue_chronic,critical,High,en,synthetic,7
Nimekuwa na maumivu wakati wa kujamiiana kwa muda mrefu.,S006,dyspareunia_deep,severe,High,sw,synthetic,9
Nimekuwa na sijapata mimba ingawa ninajaribu kwa muda mrefu.,S026,infertility,mild,Moderate,sw,synthetic,9
severe pain every time I urinate during period.,S015,dysuria,severe,Moderate,en,synthetic,7
I am struggling with hip pain every period.,S021,hip_groin_pain,moderate,Moderate,en,synthetic,6
I told the doctor that miss school from period pain.,S036,work_school_absence,mild,Low,en-KE,synthetic,7
I want you to know that blood in sputum during period.,S033,catamenial_haemoptysis,critical,High,en,synthetic,8
I am here because inner thigh pain during period.,S021,hip_groin_pain,moderate,Moderate,en,synthetic,6
My experience is that told it is all in my head.,S038,previous_misdiagnosis,critical,High,en,synthetic,6
"The problem I have is that miss 2-3 days every period, for 36 months now.",S036,work_school_absence,moderate,Moderate,en,synthetic,7
I want you to know that miss school from period pain.,S036,work_school_absence,severe,Moderate,en-KE,synthetic,7
I have had regular sex has become impossible since I was a teenager.,S006,dyspareunia_deep,moderate,Moderate,en,synthetic,9
I came to the clinic because of significant endo belly.,S014,bloating_abdominal,moderate,Low,en,synthetic,5
I told the doctor that emergency pad changes every 30 minutes.,S005,heavy_menstrual_bleeding,critical,High,en,synthetic,7
I experience pain has isolated me regularly.,S037,relationship_social_impact,mild,Low,en,synthetic,5
"I want you to know that pain in my lower belly, for over 2 months.",S002,chronic_pelvic_pain,severe,High,en-KE,synthetic,10
The problem I have is that I avoid sex because it hurts.,S006,dyspareunia_deep,severe,High,en-KE,synthetic,9
I came to the clinic because of slight burning at start.,S007,dyspareunia_superficial,mild,Low,en,synthetic,6
My main problem is extreme nothing brings me joy.,S029,depression,critical,High,en,synthetic,5
"I cannot work properly because of severe painful periods, for about 2 months.",S001,dysmenorrhoea,severe,High,en,synthetic,10
I need help with pain passing urine.,S015,dysuria,moderate,Moderate,en-KE,synthetic,7
I have been dealing with period makes me vomit for a while now.,S013,nausea_vomiting_cyclical,mild,Low,en,synthetic,6
My main problem is serious miss school during period.,S036,work_school_absence,severe,Moderate,en,synthetic,7
I came to the clinic because of soaking through pads.,S005,heavy_menstrual_bleeding,moderate,Moderate,en,synthetic,7
I am here because caesarean scar hurts during period.,S035,scar_endometriosis,critical,High,en,synthetic,7
I told the doctor that pain when going to toilet for urine.,S015,dysuria,critical,High,en,synthetic,7
My main problem is diarrhoea every period.,S012,diarrhoea_cyclical,moderate,Low,en,synthetic,5
Every month I suffer from no one believed me.,S038,previous_misdiagnosis,moderate,Moderate,en-KE,synthetic,6
I want you to know that emergency from fever during period.,S024,fever_cyclical,critical,High,en,synthetic,5
I want you to know that throw up from period pain.,S013,nausea_vomiting_cyclical,moderate,Moderate,en,synthetic,6
Sijui nifanye nini kuhusu dawa hazisaidii maumivu yangu.,S038,previous_misdiagnosis,severe,Moderate,sw,synthetic,6
Since I was young I have had stomach swells up.,S014,bloating_abdominal,severe,Moderate,en-KE,synthetic,5
My main problem is serious pain before my period.,S003,premenstrual_pain,severe,Moderate,en,synthetic,7
"Doctor, I have serious anaemia and I do not know what to do.",S023,anaemia,severe,Moderate,en,synthetic,6
"I told the doctor that miss 2-3 days every period, for the past 36 months.",S036,work_school_absence,moderate,Moderate,en,synthetic,7
I need help with stomach swells up.,S014,bloating_abdominal,critical,High,en-KE,synthetic,5
I came to the clinic because of ovarian cyst.,S028,pelvic_mass_sensation,severe,Moderate,en,synthetic,7
Sijui nifanye nini kuhusu dawa hazisaidii maumivu yangu.,S038,previous_misdiagnosis,critical,High,sw,synthetic,6
I have been dealing with hospitalised for bloating for a while now.,S014,bloating_abdominal,critical,High,en,synthetic,5
Tatizo langu kuu ni kuzimia kutokana na maumivu.,S025,fainting_syncope,critical,High,sw,synthetic,8
I want you to know that pain in my lower back.,S018,lower_back_pain,mild,Low,en,synthetic,7
I want you to know that CS scar painful during period.,S035,scar_endometriosis,mild,Low,en-KE,synthetic,7
"Doctor, I have intense endo belly and I do not know what to do.",S014,bloating_abdominal,severe,Moderate,en,synthetic,5
The problem I have is that blood when not on period.,S004,intermenstrual_bleeding,critical,High,en-KE,synthetic,6
I cannot work properly because of light spotting sometimes.,S004,intermenstrual_bleeding,mild,Low,en,synthetic,6
I am here because my period has no pattern.,S027,irregular_periods,moderate,Low,en,synthetic,5
The problem I have is that told I have a cyst.,S028,pelvic_mass_sensation,mild,Low,en-KE,synthetic,7
Nina maumivu ya hedhi.,S001,dysmenorrhoea,severe,High,sw,synthetic,10
"Doctor, I have feel feverish during period and I do not know what to do.",S024,fever_cyclical,moderate,Low,en,synthetic,5
"My experience is that I cannot function during my period, since I was 16 years old.",S001,dysmenorrhoea,severe,High,en-KE,synthetic,10
I have had excruciating shoulder pain during period since I was a teenager.,S020,shoulder_tip_pain,critical,High,en,synthetic,6
Since I was young I have had changing pad every hour.,S005,heavy_menstrual_bleeding,mild,Low,en-KE,synthetic,7
I want you to know that feel like I always need to pee.,S017,urinary_frequency,critical,High,en,synthetic,5
Since I was young I have had stomach upset with period.,S012,diarrhoea_cyclical,moderate,Low,en-KE,synthetic,5
Nina maumivu ya nyonga.,S002,chronic_pelvic_pain,moderate,High,sw,synthetic,10
I came to the clinic because of coughing blood during period.,S033,catamenial_haemoptysis,mild,Moderate,en,synthetic,8
I experience severe pain in my thigh regularly.,S019,leg_pain_sciatica,severe,Moderate,en,synthetic,7
"miss school from period pain, for over 3 months.",S036,work_school_absence,severe,Moderate,en-KE,synthetic,7
Every month I suffer from low blood.,S023,anaemia,critical,High,en-KE,synthetic,6
My experience is that belly button painful and swollen during period.,S034,umbilical_pain_bleeding,moderate,Moderate,en,synthetic,8
My experience is that my period has no pattern.,S027,irregular_periods,moderate,Low,en,synthetic,5
I am struggling with blood after intercourse.,S008,post_coital_bleeding,moderate,Low,en,synthetic,5
I told the doctor that feel slightly sick during period.,S013,nausea_vomiting_cyclical,mild,Low,en,synthetic,6
I want you to know that right shoulder pain during period.,S020,shoulder_tip_pain,moderate,Moderate,en,synthetic,6
"pain even when I am not on my period, for over 24 months.",S002,chronic_pelvic_pain,critical,Critical,en-KE,synthetic,10
My experience is that blood when not on period.,S004,intermenstrual_bleeding,critical,High,en-KE,synthetic,6
I am here because blood when I go to the toilet during my period.,S010,rectal_bleeding,moderate,Moderate,en,synthetic,8
I am struggling with chest tight during period.,S032,catamenial_pneumothorax,mild,Moderate,en,synthetic,9
I have anxious all the time.,S030,anxiety,severe,Moderate,en,synthetic,4
Nimekuwa na maumivu ya hedhi kwa muda mrefu.,S001,dysmenorrhoea,mild,Moderate,sw,synthetic,10
